createtripid,region,createtripid_region,requestdate,aborteddataerrorcount,accommodationunavailableerrorcount,createtripformsubmission_adultcount,badproportionerrorcount,createtripformsubmission_childages,createtripformsubmission_childcount,createtripformsubmission_closestcity_id,createtripformsubmission_closestcity,creationdate,createtripformsubmission_directjourney,createtripformsubmission_durationdays,array_to_string,createtripformsubmission_extrainfo,failtimeseconds,failureindurationserrorcount,createtripformsubmission_fastjourney,firstchoiceaccommodationunavailablecount,noavailabledotwaccommodationerrorcount,nofamilymanualfallbackserrorcount,nogoodscoreerrorcount,norouteserrorcount,jotform_onewaytrip,overnightreductionerrorcount,createtripformsubmission_preferreddate,createtripformsubmission_roomcount,substituteaccommodationunavailablecount,success,timeouterrorcount,transportunavailableerrorcount,tripbuildtimeseconds,createtripformsubmission_twinroompreferred
"828019729495908","Highlands & Islands","828019729495908_Highlands & Islands","'2024-01-20 14:50:00.436'","0","0","2","0","{13,10}","2","26","London","'2024-01-20 14:50:13.329'","false","7","Good for kids","{}","","0","false","1","0","0","0","3","","0","'2024-05-25'","1","0","true","0","0","11.51","false"
"844030475046484","Italian Riviera","844030475046484_Italian Riviera","'2024-01-20 14:50:05.150'","0","0","2","0","{}","0","22371672","Paris","'2024-01-20 14:50:14.300'","false","8","History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-09-16'","1","0","true","0","0","8.18","false"
"844030475046484","Southern Italy","844030475046484_Southern Italy","'2024-01-20 14:50:05.150'","0","0","2","0","{}","0","22371672","Paris","'2024-01-20 14:50:13.401'","false","8","History,Nature","{}","","0","false","0","0","0","0","1","","0","'2024-09-16'","1","0","true","0","0","7.28","false"
"844030475046484","Northern Italy","844030475046484_Northern Italy","'2024-01-20 14:50:05.150'","0","0","2","0","{}","0","22371672","Paris","'2024-01-20 14:50:12.968'","false","8","History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-09-16'","1","0","true","0","0","6.85","false"
"704586936051226","French Riviera","704586936051226_French Riviera","'2024-01-20 14:53:34.219'","0","0","2","2","{}","0","26","London","'2024-01-20 14:53:44.626'","false","3","Food and Drink,Nightlife","{}","","0","false","0","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","9.57","false"
"879753575646683","Cornwall","879753575646683_Cornwall","'2024-01-20 14:53:45.990'","0","0","1","0","{}","0","26","London","'2024-01-20 14:53:52.569'","false","9","Arts and Culture,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-09-03'","1","0","true","0","0","5.39","false"
"674032371733344","Sicily","674032371733344_Sicily","'2024-01-20 15:01:50.904'","0","0","2","0","{}","0","26","London","'2024-01-20 15:02:05.321'","false","10","Relaxation,Arts and Culture,History,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-09-13'","1","0","true","0","0","13.33","false"
"915255340080457","North & Central Spain","915255340080457_North & Central Spain","'2024-01-20 15:02:07.295'","0","0","2","0","{}","0","28","Birmingham","'2024-01-20 15:02:18.507'","false","14","Relaxation,Nightlife","{}","","0","false","0","0","0","0","2","","0","'2024-09-09'","1","0","true","0","0","10.31","false"
"794691834259427","East Highlands","794691834259427_East Highlands","'2024-01-20 15:02:42.788'","0","0","4","0","{}","0","26","London","'2024-01-20 15:02:57.205'","false","7","Arts and Culture,Relaxation,Nature,History","{}","","0","false","1","0","0","0","0","","0","'2024-06-17'","2","0","true","0","0","13.62","false"
"794691834259427","Highlands & Islands","794691834259427_Highlands & Islands","'2024-01-20 15:02:42.788'","0","0","4","0","{}","0","26","London","'2024-01-20 15:02:56.136'","false","7","Arts and Culture,Relaxation,Nature,History","{}","","0","false","1","0","0","0","1","","0","'2024-06-17'","2","0","true","0","0","12.55","false"
"735437276195394","Italian Riviera","735437276195394_Italian Riviera","'2024-01-20 15:04:59.095'","0","0","2","0","{}","0","26","London","'2024-01-20 15:05:25.908'","false","7","Arts and Culture,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-07'","2","0","true","0","0","26.06","false"
"735437276195394","Northern Italy","735437276195394_Northern Italy","'2024-01-20 15:04:59.095'","0","0","2","0","{}","0","26","London","'2024-01-20 15:05:21.683'","false","7","Arts and Culture,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-07'","2","0","true","0","0","21.84","false"
"676846732913171","Italian Riviera","676846732913171_Italian Riviera","'2024-01-20 15:04:59.655'","0","0","2","0","{}","0","26","London","'2024-01-20 15:05:26.328'","false","7","Arts and Culture,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-07'","2","0","true","0","0","25.79","false"
"676846732913171","Northern Italy","676846732913171_Northern Italy","'2024-01-20 15:04:59.655'","0","0","2","0","{}","0","26","London","'2024-01-20 15:05:19.847'","false","7","Arts and Culture,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-07'","2","0","true","0","0","19.30","false"
"730118763772066","Highlands & Islands","730118763772066_Highlands & Islands","'2024-01-20 15:05:24.916'","0","0","1","0","{6,9}","2","26","London","'2024-01-20 15:05:32.021'","false","3","Good for kids,Relaxation","{}","","0","false","0","0","0","0","2","","0","'2024-08-14'","1","0","true","0","0","6.22","false"
"730118763772066","East Highlands","730118763772066_East Highlands","'2024-01-20 15:05:24.916'","0","0","1","1","{6,9}","2","26","London","'2024-01-20 15:05:43.114'","false","3","Good for kids,Relaxation","{}","","0","false","1","0","0","0","0","","0","'2024-08-14'","1","0","true","0","0","17.31","false"
"727027887206621","Highlands & Islands","727027887206621_Highlands & Islands","'2024-01-20 15:11:35.694'","0","0","2","0","{9}","1","22391570","Sheffield","'2024-01-20 15:12:22.142'","false","7","Nature,History,Good for kids","{}","","0","false","1","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","12.88","false"
"659136222865342","Highlands & Islands","659136222865342_Highlands & Islands","'2024-01-20 15:11:39.287'","0","0","2","0","{}","0","26","London","'2024-01-20 15:12:18.270'","false","7","Relaxation,History,Food and Drink,Nature","{}","","0","false","0","0","0","0","2","","0","'2025-04-05'","1","0","true","0","0","8.97","false"
"885362106101084","Alsace","885362106101084_Alsace","'2024-01-20 15:14:13.074'","0","0","1","0","{}","0","26","London","'2024-01-20 15:14:21.991'","false","11","Food and Drink,History,Relaxation","{}","","0","false","0","0","0","0","1","","0","'2024-06-29'","1","0","true","0","0","8.05","false"
"786428821527937","Highlands & Islands","786428821527937_Highlands & Islands","'2024-01-20 15:14:14.902'","0","0","2","0","{}","0","26","London","'2024-01-20 15:15:21.635'","false","5","Nature,History,Relaxation,Adventure","{}","","0","false","1","0","0","0","2","","0","'2024-04-29'","2","0","true","1","0","19.55","false"
"608412864655677","Highlands & Islands","608412864655677_Highlands & Islands","'2024-01-20 15:15:00.066'","0","0","2","0","{}","0","26","London","'2024-01-20 15:15:10.432'","false","5","Nature,Adventure","{}","","0","false","1","0","0","0","2","","0","'2024-05-20'","1","0","true","0","0","9.00","false"
"608412864655677","Dorset","608412864655677_Dorset","'2024-01-20 15:15:00.066'","0","0","2","0","{}","0","26","London","'2024-01-20 15:15:05.068'","false","5","Nature,Adventure","{}","","0","false","0","0","0","0","1","","0","'2024-05-20'","1","0","true","0","0","3.63","false"
"626754752827996","North Wales","626754752827996_North Wales","'2024-01-20 15:16:26.877'","0","0","2","0","{}","0","26","London","'2024-01-20 15:16:30.876'","false","7","Nature,Adventure","{}","","0","false","1","0","0","0","0","","0","'2024-10-21'","1","0","true","0","0","3.13","false"
"682957730257793","East Highlands","682957730257793_East Highlands","'2024-01-20 15:19:25.696'","0","0","4","0","{}","0","26","London","'2024-01-20 15:19:51.155'","false","7","Arts and Culture,History,Relaxation,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-06-17'","2","0","true","0","0","13.86","false"
"682957730257793","Highlands & Islands","682957730257793_Highlands & Islands","'2024-01-20 15:19:25.696'","0","0","4","0","{}","0","26","London","'2024-01-20 15:19:47.326'","false","7","Arts and Culture,History,Relaxation,Nature","{}","","0","false","1","0","0","0","1","","0","'2024-06-17'","2","0","true","0","0","10.03","false"
"847523551559844","Highlands & Islands","847523551559844_Highlands & Islands","'2024-01-20 15:19:33.515'","0","0","4","0","{}","0","26","London","'2024-01-20 15:19:54.571'","false","7","Arts and Culture,History,Relaxation,Nature","{}","","0","false","1","0","0","0","1","","0","'2024-06-17'","2","0","true","0","0","9.40","false"
"847523551559844","East Highlands","847523551559844_East Highlands","'2024-01-20 15:19:33.515'","0","0","4","0","{}","0","26","London","'2024-01-20 15:19:57.682'","false","7","Arts and Culture,History,Relaxation,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-06-17'","2","0","true","0","0","12.51","false"
"679214910549998","Yorkshire","679214910549998_Yorkshire","'2024-01-20 15:19:51.922'","0","0","2","0","{}","0","183936590","Cardiff","'2024-01-20 15:20:01.096'","false","7","Relaxation,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","6.38","false"
"813182780154843","Northern Italy","813182780154843_Northern Italy","'2024-01-20 15:20:17.380'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:20:36.491'","false","12","Arts and Culture,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-09-09'","1","0","true","0","0","18.04","false"
"813182780154843","Southern Italy","813182780154843_Southern Italy","'2024-01-20 15:20:17.380'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:20:30.559'","false","12","Arts and Culture,History,Nature","{}","","0","false","0","0","0","0","2","","0","'2024-09-09'","1","0","true","0","0","12.12","false"
"813182780154843","Italian Riviera","813182780154843_Italian Riviera","'2024-01-20 15:20:17.380'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:20:32.024'","false","12","Arts and Culture,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-09-09'","1","0","true","0","0","13.59","false"
"631088966408193","Southern Italy","631088966408193_Southern Italy","'2024-01-20 15:21:59.471'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:22:09.394'","false","12","Nature,Arts and Culture,History,Food and Drink","{}","","0","false","0","0","0","0","3","","0","'2024-09-09'","1","0","true","0","0","8.86","false"
"631088966408193","Northern Italy","631088966408193_Northern Italy","'2024-01-20 15:21:59.471'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:22:18.827'","false","12","Nature,Arts and Culture,History,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-09-09'","1","0","true","0","0","18.30","false"
"631088966408193","Italian Riviera","631088966408193_Italian Riviera","'2024-01-20 15:21:59.471'","0","0","2","0","{}","0","22376141","Winchester","'2024-01-20 15:22:10.696'","false","12","Nature,Arts and Culture,History,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-09-09'","1","0","true","0","0","10.17","false"
"810318004025797","Alsace","810318004025797_Alsace","'2024-01-20 15:22:08.818'","0","0","2","0","{}","0","42771065","Liverpool","'2024-01-20 15:22:17.513'","false","7","Relaxation,Food and Drink,Nature","{}","","0","false","0","0","0","0","2","","0","'2024-05-09'","1","0","true","0","0","7.78","false"
"810318004025797","Northern Italy","810318004025797_Northern Italy","'2024-01-20 15:22:08.818'","0","0","2","0","{}","0","42771065","Liverpool","'2024-01-20 15:22:29.767'","false","7","Relaxation,Food and Drink,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-09'","1","0","true","0","0","20.02","false"
"810318004025797","Italian Riviera","810318004025797_Italian Riviera","'2024-01-20 15:22:08.818'","0","0","2","0","{}","0","42771065","Liverpool","'2024-01-20 15:22:25.040'","false","7","Relaxation,Food and Drink,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-09'","1","0","true","0","0","15.30","false"
"717415067018429","North & Central Spain","717415067018429_North & Central Spain","'2024-01-20 15:25:47.679'","0","0","2","0","{}","0","42771065","Liverpool","'2024-01-20 15:26:12.347'","false","9","Relaxation,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-04-10'","1","0","true","0","0","13.07","false"
"832805957238696","North & Central Spain","832805957238696_North & Central Spain","'2024-01-20 15:26:40.859'","0","0","3","0","{10}","1","26","London","'2024-01-20 15:27:04.876'","false","7","History,Food and Drink,Good for kids","{}","","0","false","0","0","0","0","1","","0","'2024-08-20'","2","0","true","0","0","12.10","true"
"658001757874833","Alsace","658001757874833_Alsace","'2024-01-20 15:30:35.106'","0","0","2","0","{13}","1","26","London","'2024-01-20 15:30:38.543'","false","7","Nature,Good for kids,Adventure,Food and Drink","{}","","0","false","0","0","0","0","1","","0","'2025-08-11'","1","0","true","0","0","2.64","false"
"804245290218492","Andalusia","804245290218492_Andalusia","'2024-01-20 15:34:50.862'","0","0","2","0","{}","0","34","Manchester","'2024-01-20 15:35:08.529'","false","9","Relaxation,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-02-25'","1","0","true","0","0","16.58","false"
"622463674802814","Catalonia","622463674802814_Catalonia","'2024-01-20 15:36:00.478'","0","0","5","0","{13}","1","22371672","Paris","'2024-01-20 15:36:30.257'","false","9","Nature,History,Nightlife,Arts and Culture,Relaxation","{}","","0","false","1","0","0","0","0","","0","'2024-07-06'","2","0","true","0","0","27.75","true"
"622463674802814","Andalusia","622463674802814_Andalusia","'2024-01-20 15:36:00.478'","0","0","5","0","{13}","1","22371672","Paris","'2024-01-20 15:37:06.096'","false","9","Nature,History,Nightlife,Arts and Culture,Relaxation","{}","","0","false","2","0","0","0","0","","0","'2024-07-06'","2","1","true","1","0","63.60","true"
